2018-03-01 12:35:22.515468 UTC | [experiment_2018_03_01_12_35_20_0001] Populating workers...
2018-03-01 12:35:24.693265 UTC | [experiment_2018_03_01_12_35_20_0001] Populated
2018-03-01 12:35:26.658623 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #0 | Training started
2018-03-01 12:35:26.902476 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #0 | Training finished
2018-03-01 12:35:26.902700 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #1 | Training started
2018-03-01 12:35:27.129994 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #1 | Training finished
2018-03-01 12:35:27.130206 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #2 | Training started
2018-03-01 12:35:27.372284 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #2 | Training finished
2018-03-01 12:35:27.372517 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #3 | Training started
2018-03-01 12:35:27.620769 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #3 | Training finished
2018-03-01 12:35:27.621001 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #4 | Training started
2018-03-01 12:35:27.850757 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #4 | Training finished
2018-03-01 12:35:27.850976 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #5 | Training started
2018-03-01 12:35:28.086823 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #5 | Training finished
2018-03-01 12:35:28.087084 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #6 | Training started
2018-03-01 12:35:28.322607 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #6 | Training finished
2018-03-01 12:35:28.322829 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #7 | Training started
2018-03-01 12:35:28.563003 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #7 | Training finished
2018-03-01 12:35:28.563228 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #8 | Training started
2018-03-01 12:35:28.801155 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #8 | Training finished
2018-03-01 12:35:28.801425 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #9 | Training started
2018-03-01 12:35:29.082296 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #9 | Training finished
2018-03-01 12:35:29.082505 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 12:35:31.347217 UTC | -----------------------  -----------
2018-03-01 12:35:31.347524 UTC | Epoch                      9
2018-03-01 12:35:31.347627 UTC | AverageReturn             10
2018-03-01 12:35:31.347725 UTC | StdReturn                  0
2018-03-01 12:35:31.347811 UTC | MaxReturn                 10
2018-03-01 12:35:31.347895 UTC | MinReturn                 10
2018-03-01 12:35:31.347979 UTC | AverageEsReturn            9.4617
2018-03-01 12:35:31.348077 UTC | StdEsReturn                3.23671
2018-03-01 12:35:31.348160 UTC | MaxEsReturn               10
2018-03-01 12:35:31.348244 UTC | MinEsReturn              -10
2018-03-01 12:35:31.348334 UTC | AverageDiscountedReturn    8.17907
2018-03-01 12:35:31.348453 UTC | AverageQLoss               0.0572544
2018-03-01 12:35:31.348547 UTC | AveragePolicySurr          0.0166108
2018-03-01 12:35:31.348638 UTC | AverageQ                  -0.108103
2018-03-01 12:35:31.348733 UTC | AverageAbsQ                0.108103
2018-03-01 12:35:31.348824 UTC | AverageY                  -0.0556763
2018-03-01 12:35:31.348916 UTC | AverageAbsY                0.149426
2018-03-01 12:35:31.348999 UTC | AverageAbsQYDiff           0.0530818
2018-03-01 12:35:31.349109 UTC | AverageAction              0.114351
2018-03-01 12:35:31.349213 UTC | PolicyRegParamNorm        26.4462
2018-03-01 12:35:31.349304 UTC | QFunRegParamNorm           8.01405
2018-03-01 12:35:31.349418 UTC | AverageForwardProgress     0
2018-03-01 12:35:31.349520 UTC | MaxForwardProgress         0
2018-03-01 12:35:31.349612 UTC | MinForwardProgress         0
2018-03-01 12:35:31.349711 UTC | StdForwardProgress         0
2018-03-01 12:35:31.349807 UTC | -----------------------  -----------
2018-03-01 12:35:31.350235 UTC | [experiment_2018_03_01_12_35_20_0001] epoch #10 | Training started
