2018-03-01 12:37:50.394223 UTC | [experiment_2018_03_01_12_37_48_0001] Populating workers...
2018-03-01 12:37:52.548790 UTC | [experiment_2018_03_01_12_37_48_0001] Populated
2018-03-01 12:37:54.486986 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #0 | Training started
2018-03-01 12:37:54.714701 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #0 | Training finished
2018-03-01 12:37:54.714944 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #1 | Training started
2018-03-01 12:37:54.942095 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #1 | Training finished
2018-03-01 12:37:54.942314 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #2 | Training started
2018-03-01 12:37:55.165557 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #2 | Training finished
2018-03-01 12:37:55.165784 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #3 | Training started
2018-03-01 12:37:55.378123 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #3 | Training finished
2018-03-01 12:37:55.378397 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #4 | Training started
2018-03-01 12:37:55.610338 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #4 | Training finished
2018-03-01 12:37:55.610560 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #5 | Training started
2018-03-01 12:37:55.847511 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #5 | Training finished
2018-03-01 12:37:55.847746 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #6 | Training started
2018-03-01 12:37:56.074347 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #6 | Training finished
2018-03-01 12:37:56.074568 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #7 | Training started
2018-03-01 12:37:56.299442 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #7 | Training finished
2018-03-01 12:37:56.299717 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #8 | Training started
2018-03-01 12:37:56.512184 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #8 | Training finished
2018-03-01 12:37:56.512404 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #9 | Training started
2018-03-01 12:37:56.778012 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #9 | Training finished
2018-03-01 12:37:56.778203 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 12:37:58.957241 UTC | -----------------------  -----------
2018-03-01 12:37:58.957543 UTC | Epoch                      9
2018-03-01 12:37:58.957642 UTC | AverageReturn             10
2018-03-01 12:37:58.957737 UTC | StdReturn                  0
2018-03-01 12:37:58.957820 UTC | MaxReturn                 10
2018-03-01 12:37:58.957907 UTC | MinReturn                 10
2018-03-01 12:37:58.957993 UTC | AverageEsReturn            9.4617
2018-03-01 12:37:58.958087 UTC | StdEsReturn                3.23671
2018-03-01 12:37:58.958179 UTC | MaxEsReturn               10
2018-03-01 12:37:58.958277 UTC | MinEsReturn              -10
2018-03-01 12:37:58.958385 UTC | AverageDiscountedReturn    8.17907
2018-03-01 12:37:58.958505 UTC | AverageQLoss               0.0572544
2018-03-01 12:37:58.958598 UTC | AveragePolicySurr          0.0166108
2018-03-01 12:37:58.958685 UTC | AverageQ                  -0.108103
2018-03-01 12:37:58.958769 UTC | AverageAbsQ                0.108103
2018-03-01 12:37:58.958854 UTC | AverageY                  -0.0556763
2018-03-01 12:37:58.958937 UTC | AverageAbsY                0.149426
2018-03-01 12:37:58.959017 UTC | AverageAbsQYDiff           0.0530818
2018-03-01 12:37:58.959101 UTC | AverageAction              0.114351
2018-03-01 12:37:58.959185 UTC | PolicyRegParamNorm        26.4462
2018-03-01 12:37:58.959270 UTC | QFunRegParamNorm           8.01405
2018-03-01 12:37:58.959351 UTC | AverageForwardProgress     0
2018-03-01 12:37:58.959461 UTC | MaxForwardProgress         0
2018-03-01 12:37:58.959547 UTC | MinForwardProgress         0
2018-03-01 12:37:58.959631 UTC | StdForwardProgress         0
2018-03-01 12:37:58.959717 UTC | -----------------------  -----------
2018-03-01 12:37:58.960075 UTC | [experiment_2018_03_01_12_37_48_0001] epoch #10 | Training started
