2018-02-25 16:48:12.357170 UTC | [experiment_2018_02_25_16_48_09_0001] Populating workers...
2018-02-25 16:48:14.603041 UTC | [experiment_2018_02_25_16_48_09_0001] Populated
2018-02-25 16:48:17.215712 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #0 | Training started
2018-02-25 16:48:17.442303 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #0 | Training finished
2018-02-25 16:48:17.442544 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #1 | Training started
2018-02-25 16:48:17.665725 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #1 | Training finished
2018-02-25 16:48:17.666086 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #2 | Training started
2018-02-25 16:48:17.895459 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #2 | Training finished
2018-02-25 16:48:17.895681 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #3 | Training started
2018-02-25 16:48:18.115902 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #3 | Training finished
2018-02-25 16:48:18.116150 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #4 | Training started
2018-02-25 16:48:18.345130 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #4 | Training finished
2018-02-25 16:48:18.345357 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #5 | Training started
2018-02-25 16:48:18.574674 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #5 | Training finished
2018-02-25 16:48:18.574918 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #6 | Training started
2018-02-25 16:48:18.798963 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #6 | Training finished
2018-02-25 16:48:18.799187 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #7 | Training started
2018-02-25 16:48:19.024526 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #7 | Training finished
2018-02-25 16:48:19.027205 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #8 | Training started
2018-02-25 16:48:19.254281 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #8 | Training finished
2018-02-25 16:48:19.254509 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #9 | Training started
2018-02-25 16:48:19.533934 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #9 | Training finished
2018-02-25 16:48:19.534146 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #9 | Collecting samples for evaluation
2018-02-25 16:48:22.448528 UTC | -----------------------  -----------
2018-02-25 16:48:22.448837 UTC | Epoch                      9
2018-02-25 16:48:22.448964 UTC | AverageReturn            -10
2018-02-25 16:48:22.449045 UTC | StdReturn                  0
2018-02-25 16:48:22.449166 UTC | MaxReturn                -10
2018-02-25 16:48:22.449253 UTC | MinReturn                -10
2018-02-25 16:48:22.449337 UTC | AverageEsReturn           -6.87894
2018-02-25 16:48:22.449416 UTC | StdEsReturn                7.25812
2018-02-25 16:48:22.449492 UTC | MaxEsReturn               10
2018-02-25 16:48:22.449574 UTC | MinEsReturn              -10
2018-02-25 16:48:22.449653 UTC | AverageDiscountedReturn   -9.4148
2018-02-25 16:48:22.449743 UTC | AverageQLoss               0.100415
2018-02-25 16:48:22.449829 UTC | AveragePolicySurr          0.119132
2018-02-25 16:48:22.449938 UTC | AverageQ                  -0.0429484
2018-02-25 16:48:22.450033 UTC | AverageAbsQ                0.0429484
2018-02-25 16:48:22.450120 UTC | AverageY                  -0.146714
2018-02-25 16:48:22.450213 UTC | AverageAbsY                0.146714
2018-02-25 16:48:22.450298 UTC | AverageAbsQYDiff           0.1061
2018-02-25 16:48:22.450387 UTC | AverageAction              0.0808823
2018-02-25 16:48:22.450466 UTC | PolicyRegParamNorm        26.4462
2018-02-25 16:48:22.450541 UTC | QFunRegParamNorm           8.01517
2018-02-25 16:48:22.450619 UTC | AverageForwardProgress     0
2018-02-25 16:48:22.450701 UTC | MaxForwardProgress         0
2018-02-25 16:48:22.450782 UTC | MinForwardProgress         0
2018-02-25 16:48:22.450861 UTC | StdForwardProgress         0
2018-02-25 16:48:22.450967 UTC | -----------------------  -----------
2018-02-25 16:48:22.451393 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #10 | Training started
2018-02-25 16:48:59.274450 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #10 | Training finished
2018-02-25 16:48:59.274702 UTC | [experiment_2018_02_25_16_48_09_0001] epoch #10 | Collecting samples for evaluation
2018-02-25 16:49:02.386801 UTC | -----------------------  -----------
2018-02-25 16:49:02.387106 UTC | Epoch                     10
2018-02-25 16:49:02.387210 UTC | AverageReturn            -10
2018-02-25 16:49:02.387298 UTC | StdReturn                  0
2018-02-25 16:49:02.387377 UTC | MaxReturn                -10
2018-02-25 16:49:02.387453 UTC | MinReturn                -10
2018-02-25 16:49:02.387528 UTC | AverageEsReturn           -5.22222
2018-02-25 16:49:02.387603 UTC | StdEsReturn                8.52809
